time,valueA,valueB,valueC
272,510,0.0,0
273,130,0.0,0
274,128,0.0,0
275,127,0.0,0
276,511,0.0,0
277,85,0.0,0
278,84,0.0,0
279,512,0.0,0
280,81,0.0,0
281,513,0.0,0
282,514,0.0,0
283,515,0.0,0
284,516,0.0,0
285,475,0.0,0
286,450,0.0,0
287,80,0.0,0
288,208,0.0,0
289,218,0.0,0
290,217,0.0,0
291,216,0.0,0
292,214,0.0,0
293,236,0.0,0
294,278,0.0,0
295,354,0.0,0
296,399,0.0,0
297,400,0.0,0
298,211,0.0,0
299,210,0.0,0
300,209,0.0,0
301,417,0.0,0
302,433,0.0,0
303,449,0.0,0
304,2238,0.0,0
305,2234,0.0,0
306,517,0.0,0
307,518,0.0,0
308,219,0.0,0
309,61,0.0,0
310,538,0.0,0
311,537,0.0,0
312,536,0.0,0
313,57,0.0,0
314,535,0.0,0
315,534,0.0,0
316,533,0.0,0
317,56,0.0,0
318,532,0.0,0
319,531,0.0,0
320,55,0.0,0
321,54,0.0,0
322,530,0.0,0
323,52,0.0,0
324,51,0.0,0
325,50,0.0,0
326,49,0.0,0
327,58,0.0,0
328,539,0.0,0
329,844,0.0,0
330,62,0.0,0
331,78,0.0,0
332,520,0.0,0
333,77,0.0,0
334,843,0.0,0
335,76,0.0,0
336,69,0.0,0
337,693,0.0,0
338,68,0.0,0
339,67,0.0,0
340,4045,0.0,0
341,66,0.0,0
342,578,0.0,0
343,65,0.0,0
344,541,0.0,0
345,64,0.0,0
346,540,0.0,0
347,63,0.0,0
348,519,0.0,0
