Game,Country,AverageRating
Suburbia,Qatar,7.2
Suburbia,Romania,8.57
Suburbia,Russia,7.5
Suburbia,Republic of Serbia,7.0
Suburbia,Slovakia,6.0
Suburbia,South Africa,9.5
Suburbia,South Korea,7.33
Suburbia,Spain,7.71
Suburbia,Sweden,7.28
Suburbia,Switzerland,7.5
Suburbia,Taiwan,7.71
Suburbia,Thailand,9.0
Suburbia,Ukraine,8.0
Suburbia,USA,7.84
Suburbia,Venezuela,7.5
Suburbia,Vietnam,7.77
Survive: Escape from Atlantis!,Argentina,7.68
Survive: Escape from Atlantis!,Australia,7.76
Survive: Escape from Atlantis!,Austria,6.0
Survive: Escape from Atlantis!,Belarus,8.0
Survive: Escape from Atlantis!,Belgium,8.38
Survive: Escape from Atlantis!,Brazil,8.0
Survive: Escape from Atlantis!,Bulgaria,10.0
Survive: Escape from Atlantis!,Canada,7.79
Survive: Escape from Atlantis!,Chile,7.88
Survive: Escape from Atlantis!,China,7.15
Survive: Escape from Atlantis!,Colombia,8.13
Survive: Escape from Atlantis!,Croatia,8.0
Survive: Escape from Atlantis!,Czech Republic,7.0
Survive: Escape from Atlantis!,Denmark,8.0
Survive: Escape from Atlantis!,England,7.0
Survive: Escape from Atlantis!,Finland,6.67
Survive: Escape from Atlantis!,France,8.03
Survive: Escape from Atlantis!,Germany,6.49
Survive: Escape from Atlantis!,Greece,7.36
Survive: Escape from Atlantis!,Honduras,8.3
