Game,Country,AverageRating
Stratego,Norway,5.56
Stratego,Peru,8.0
Stratego,Poland,6.41
Stratego,Portugal,6.6
Stratego,Qatar,8.0
Stratego,Russia,6.0
Stratego,Republic of Serbia,7.75
Stratego,Slovenia,4.0
Stratego,South Africa,7.0
Stratego,South Korea,6.57
Stratego,Spain,7.2
Stratego,Sweden,6.14
Stratego,Switzerland,6.32
Stratego,USA,6.26
Suburbia,Argentina,7.56
Suburbia,Australia,7.66
Suburbia,Austria,7.33
Suburbia,Belarus,7.0
Suburbia,Belgium,8.07
Suburbia,Brazil,8.66
Suburbia,Bulgaria,8.0
Suburbia,Canada,8.06
Suburbia,Chile,7.2
Suburbia,China,7.38
Suburbia,Czech Republic,7.0
Suburbia,Denmark,6.6
Suburbia,England,7.57
Suburbia,Estonia,8.5
Suburbia,Finland,8.43
Suburbia,France,7.61
Suburbia,Germany,7.5
Suburbia,Greece,8.21
Suburbia,Hungary,8.75
Suburbia,Iceland,8.5
Suburbia,India,9.5
Suburbia,Indonesia,6.5
Suburbia,Ireland,8.08
Suburbia,Israel,7.67
Suburbia,Italy,7.14
Suburbia,Japan,6.17
Suburbia,Latvia,7.25
Suburbia,Lithuania,7.0
Suburbia,Malaysia,8.5
Suburbia,Mexico,8.17
Suburbia,Netherlands,7.76
Suburbia,New Zealand,6.75
Suburbia,Norway,7.72
Suburbia,Philippines,8.18
Suburbia,Poland,7.74
Suburbia,Portugal,8.8
