,satisfaction_life,satisfaction_economy,satisfaction_government,satisfaction_democracy,satisfaction_education,satisfaction_health_services,immigration_same_ethnicity,immigration_diff_ethnicity,immigration_world_poor,country,gender,age,degree,weight
60,7,9,8,8,10,6,Allow none,Allow none,Allow none,Austria,Female,40.0,False,0.289815262
61,7,4,3,6,9,9,Allow some,Allow some,Allow some,Austria,Female,48.0,False,0.44940225799999994
62,8,7,7,6,4,7,Allow none,Allow none,Allow none,Austria,Male,60.0,False,0.429116006
63,6,6,7,6,6,6,Allow a few,Allow a few,Allow a few,Austria,Female,73.0,False,0.16868386800000001
64,8,7,7,8,7,6,Allow some,Allow some,Allow a few,Austria,Female,54.0,False,0.48590787799999996
65,7,7,3,7,4,4,Allow some,Allow some,Allow some,Austria,Male,25.0,False,0.30667031899999997
66,8,7,9,9,9,9,Allow a few,Allow none,Allow none,Austria,Female,78.0,False,0.321051009
67,8,8,3,9,7,6,Allow many to come and live here,Allow some,,Austria,Female,57.0,False,0.29534876600000004
68,7,6,3,4,6,7,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,41.0,True,0.173270148
69,9,9,7,8,4,6,Allow some,Allow some,Allow some,Austria,Female,76.0,False,0.206594848
70,10,5,7,4,4,7,Allow some,Allow a few,Allow none,Austria,Male,18.0,False,0.11389203199999999
71,8,7,3,7,7,6,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,32.0,False,0.15146906400000001
72,9,7,7,8,7,7,Allow some,Allow a few,Allow none,Austria,Male,78.0,False,0.29534876600000004
73,7,5,5,7,6,4,Allow some,Allow some,Allow some,Austria,Female,29.0,False,0.326821859
74,6,4,5,7,6,5,Allow many to come and live here,Allow some,Allow some,Austria,Female,54.0,False,0.175567783
75,9,5,1,7,7,4,Allow some,Allow a few,Allow a few,Austria,Female,70.0,False,0.298238204
76,9,5,5,5,5,5,Allow some,Allow some,Allow some,Austria,Male,57.0,False,0.560482261
77,8,7,3,4,2,8,Allow many to come and live here,Allow some,Allow a few,Austria,Female,78.0,False,0.323938595
78,9,9,4,6,3,9,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,42.0,True,0.298238204
79,8,6,7,8,6,7,Allow some,Allow a few,Allow a few,Austria,Female,73.0,False,0.14140476
80,10,8,10,5,10,10,Allow some,Allow a few,Allow a few,Austria,Female,60.0,False,0.46506199600000003
81,9,7,7,8,4,8,Allow some,Allow a few,Allow none,Austria,Female,39.0,False,0.34198566799999996
82,8,6,5,8,7,8,Allow some,Allow a few,Allow a few,Austria,Male,72.0,False,0.27769567300000003
83,10,8,8,10,8,8,Allow a few,Allow a few,Allow a few,Austria,Male,65.0,False,0.261459781
84,8,7,9,8,7,8,,Allow none,Allow none,Austria,Female,26.0,False,0.257968376
85,7,8,7,6,2,4,Allow some,Allow a few,Allow a few,Austria,Female,60.0,False,0.25804577100000003
86,8,4,1,1,0,1,Allow a few,Allow none,Allow a few,Austria,Male,51.0,False,0.517364256
87,8,5,2,2,7,8,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,43.0,False,0.156686679
88,7,8,1,7,7,8,Allow some,Allow some,Allow some,Austria,Female,60.0,False,0.182277865
89,9,9,3,3,2,8,Allow some,Allow a few,Allow a few,Austria,Female,36.0,False,0.257477248
90,5,5,5,6,5,6,Allow some,Allow a few,Allow a few,Austria,Male,55.0,False,0.33736773600000003
91,8,8,6,5,8,8,Allow none,Allow none,Allow none,Austria,Male,50.0,False,0.132340867
92,9,7,3,0,7,9,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,27.0,False,0.151557926
93,9,7,5,5,6,9,,,,Austria,Female,63.0,False,0.48590787799999996
94,9,8,5,6,6,8,Allow some,Allow some,Allow some,Austria,Female,49.0,False,0.632709603
95,8,5,3,9,5,9,Allow some,Allow a few,Allow a few,Austria,Male,63.0,False,0.547651762
96,8,6,5,5,5,5,Allow a few,Allow a few,Allow a few,Austria,Male,46.0,False,0.466412107
97,6,5,1,2,8,8,Allow a few,Allow none,Allow none,Austria,Female,63.0,False,0.178182037
98,8,7,5,8,7,8,Allow some,Allow a few,Allow a few,Austria,Male,69.0,False,0.446899812
99,7,8,7,8,7,9,Allow a few,,Allow none,Austria,Female,36.0,False,0.520477282
100,9,8,4,7,6,7,Allow some,Allow some,Allow a few,Austria,Female,32.0,True,0.16707698699999998
101,8,7,0,3,6,7,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,56.0,False,0.328518831
102,3,4,5,5,6,7,Allow some,Allow some,Allow some,Austria,Male,24.0,False,0.17408436600000002
103,8,8,6,8,7,7,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Female,46.0,True,0.397022589
104,10,6,3,4,3,4,Allow a few,Allow a few,,Austria,Female,59.0,False,0.161094792
105,7,7,5,6,4,6,Allow some,Allow some,Allow a few,Austria,Female,59.0,False,0.173492433
106,5,3,2,2,5,8,Allow none,Allow none,Allow none,Austria,Female,50.0,False,0.13072989
107,10,3,0,8,8,8,Allow many to come and live here,Allow many to come and live here,Allow many to come and live here,Austria,Male,69.0,True,0.328518831
108,7,6,7,8,5,9,Allow a few,Allow a few,Allow some,Austria,Male,75.0,False,0.138847836
109,5,6,5,7,7,8,Allow many to come and live here,Allow some,Allow some,Austria,Male,74.0,False,0.346540296
